1,Fiksi,Kategori buku yang berisi cerita imajinatif atau rekaan penulis seperti novel dan cerpen.
2,Non-Fiksi,"Buku yang berisi informasi nyata berdasarkan fakta, data, dan kejadian sebenarnya."
3,Pendidikan,Buku yang digunakan untuk pembelajaran seperti buku pelajaran sekolah atau referensi akademik.
4,Teknologi,"Buku yang membahas topik teknologi seperti pemrograman, AI, dan perkembangan digital."
5,Bisnis,"Buku yang membahas kewirausahaan, manajemen, pemasaran, dan keuangan."
6,Sejarah,"Buku yang membahas peristiwa masa lalu, tokoh penting, dan perkembangan suatu peradaban."
7,Biografi,Buku yang menceritakan kisah hidup seseorang yang inspiratif atau berpengaruh.
8,Kesehatan,"Buku yang membahas kesehatan tubuh, pola hidup sehat, dan dunia medis."
9,Psikologi,"Buku yang membahas perilaku manusia, mental, dan ilmu psikologi."
10,Agama,"Buku yang membahas ajaran agama, spiritualitas, dan nilai-nilai keagamaan."
11,Anak-anak,Buku yang ditujukan untuk anak-anak dengan bahasa sederhana dan ilustrasi menarik.
12,Komik,Buku cerita bergambar dengan dialog dan ilustrasi sebagai media utama cerita.
